-12	0.130991254
-11.5	0.128944563
-11	0.126878617
-10.5	0.123038219
-10	0.121006682
-9.5	0.117975155
-9	0.115105152
-8.5	0.112699399
-8	0.108077407
-7.5	0.105307065
-7	0.099845716
-6.5	0.096264898
-6	0.09146605
-5.5	0.084135758
-5	0.079318012
-4.5	0.070128226
-4	0.065117934
-3.5	0.059724155
-3	0.05140136
-2.5	0.04722472
-2	0.041377567
-1.5	0.038802266
-1	0.035316473
-0.5	0.034123402
0	0.033298129
0.5	0.032951903
1	0.033280479
1.5	0.034756842
2	0.03677162
2.5	0.038807436
3	0.044025072
3.5	0.047713929
4	0.056226773
4.5	0.061331377
5	0.067970822
5.5	0.076512904
6	0.081762274
6.5	0.090899822
7	0.095222655
7.5	0.101940722
8	0.105490162
8.5	0.108910881
9	0.113998014
9.5	0.116558695
10	0.120592352
10.5	0.122807521
11	0.125204182
11.5	0.128620801
12	0.130470667
