Tayal 2007			// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-11
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
2-23	0.156	0.155	0.162	0.168	0.173	0.178	0.178	0.173	0.167	0.162	0.143
2-24	0.026	0.025	0.024	0.023	0.022	0.020	0.018	0.017	0.015	0.014	0.012
2-25	0.056	0.055	0.052	0.050	0.048	0.045	0.042	0.038	0.036	0.034	0.029
2-26	0.109	0.105	0.100	0.096	0.092	0.086	0.082	0.076	0.072	0.069	0.061
2-27	0.116	0.107	0.102	0.098	0.096	0.090	0.086	0.080	0.077	0.074	0.068
2-28	0.543	0.524	0.514	0.508	0.505	0.507	0.512	0.526	0.539	0.551	0.594
2-29	0.053	0.053	0.056	0.058	0.059	0.060	0.059	0.057	0.055	0.053	0.048
2-30	0.703	0.719	0.747	0.779	0.814	0.901	0.982	1.125	1.246	1.354	1.792
2-31	0.051	0.051	0.051	0.051	0.051	0.051	0.050	0.050	0.049	0.049	0.047
2-32	0.032	0.031	0.031	0.030	0.030	0.029	0.028	0.027	0.026	0.026	0.024
2-33	0.086	0.088	0.088	0.088	0.087	0.084	0.082	0.080	0.078	0.078	0.077
2-34	0.089	0.081	0.078	0.076	0.076	0.075	0.074	0.074	0.074	0.074	0.073
2-35	0.166	0.148	0.141	0.138	0.136	0.134	0.134	0.133	0.134	0.134	0.135
3-4	0.315	0.317	0.320	0.322	0.326	0.337	0.349	0.374	0.394	0.410	0.454
3-5	0.472	0.475	0.477	0.481	0.485	0.501	0.518	0.550	0.574	0.593	0.637
3-6	0.083	0.081	0.080	0.080	0.080	0.080	0.081	0.081	0.082	0.081	0.077
3-7	0.188	0.187	0.187	0.187	0.188	0.189	0.190	0.192	0.192	0.192	0.184
3-8	0.133	0.133	0.133	0.134	0.134	0.135	0.136	0.137	0.138	0.137	0.132
3-9	0.429	0.434	0.436	0.438	0.440	0.445	0.449	0.457	0.464	0.471	0.502
3-10	0.913	0.937	0.954	0.974	0.996	1.051	1.108	1.221	1.330	1.433	1.853
3-11	0.099	0.102	0.105	0.109	0.111	0.112	0.110	0.103	0.096	0.091	0.073
3-12	0.196	0.195	0.195	0.195	0.195	0.190	0.182	0.166	0.153	0.142	0.110
3-13	0.154	0.132	0.125	0.123	0.122	0.117	0.111	0.098	0.087	0.078	0.054
3-14	0.320	0.320	0.325	0.329	0.331	0.331	0.331	0.335	0.345	0.357	0.429
3-15	0.185	0.219	0.242	0.255	0.260	0.257	0.246	0.222	0.203	0.190	0.161
3-16	0.015	0.015	0.014	0.014	0.013	0.012	0.012	0.011	0.011	0.010	0.010
3-17	0.140	0.147	0.144	0.138	0.131	0.117	0.106	0.092	0.084	0.078	0.066
3-18	0.065	0.057	0.053	0.050	0.048	0.045	0.042	0.039	0.036	0.035	0.030
3-19	0.117	0.102	0.093	0.088	0.084	0.077	0.073	0.066	0.062	0.059	0.051
3-20	0.135	0.114	0.103	0.096	0.091	0.082	0.076	0.069	0.064	0.061	0.052
3-21	0.073	0.057	0.050	0.045	0.041	0.035	0.032	0.027	0.024	0.022	0.017
3-22	0.159	0.159	0.166	0.172	0.177	0.181	0.181	0.175	0.169	0.163	0.144
3-23	0.165	0.176	0.181	0.184	0.185	0.185	0.182	0.176	0.172	0.170	0.173
3-24	0.030	0.028	0.026	0.025	0.024	0.022	0.021	0.019	0.018	0.018	0.016
3-25	0.049	0.046	0.044	0.042	0.040	0.038	0.036	0.033	0.031	0.030	0.026
3-26	0.050	0.049	0.046	0.044	0.042	0.038	0.036	0.032	0.030	0.028	0.023
3-27	0.300	0.298	0.295	0.294	0.295	0.299	0.304	0.316	0.326	0.335	0.366
3-28	0.102	0.097	0.094	0.092	0.090	0.085	0.082	0.077	0.074	0.072	0.066
3-29	0.034	0.034	0.036	0.038	0.039	0.039	0.039	0.037	0.036	0.035	0.031
3-30	0.141	0.141	0.144	0.148	0.152	0.163	0.174	0.192	0.207	0.220	0.267
3-31	0.365	0.373	0.389	0.408	0.430	0.487	0.541	0.632	0.706	0.768	1.003
3-32	0.033	0.035	0.035	0.034	0.034	0.033	0.032	0.032	0.031	0.031	0.031
3-33	0.044	0.043	0.043	0.042	0.042	0.040	0.039	0.037	0.036	0.035	0.034
3-34	0.092	0.082	0.078	0.077	0.076	0.074	0.074	0.074	0.074	0.074	0.076
3-35	0.078	0.071	0.069	0.067	0.067	0.066	0.066	0.065	0.065	0.065	0.064
4-5	0.323	0.322	0.322	0.322	0.322	0.326	0.332	0.348	0.363	0.376	0.412
4-6	0.068	0.066	0.066	0.066	0.066	0.066	0.066	0.067	0.067	0.067	0.065
4-7	0.098	0.098	0.098	0.098	0.098	0.098	0.099	0.100	0.100	0.100	0.098
4-8	0.066	0.066	0.066	0.066	0.066	0.066	0.066	0.067	0.067	0.067	0.066
