Species,Air Wavelength (A),Vacuum Wavelength (A),Einstein A Coefficient (per sec),Oscillator Strength (per sec),gl,gu,Solar Flux (ergs/cm2/s/A),G-Factor (photons/atom/s),NIST Relative Intensity,FUV Grating Position,FUV Sensitivity (C/sec/(Kray/nm)),MUV Grating Position,MUV Sensitivity (C/sec/(Kray/nm)),VIS Grating Position,VIS Sensitivity (C/sec/(Kray/nm))
Fe I,2490.6443,2491.39576,3.45E+08,4.49E-01,5,7,2.38E+00,5.92E-02,500,0,0,450.56,163.22,581.79,243.07
Fe I,2522.8494,2523.60836,2.13E+08,2.03E-01,9,9,2.63E+00,3.08E-02,400,0,0,464.86,165.02,595.96,236.39
Fe I,2719.0273,2719.83293,1.42E+08,1.22E-01,9,7,6.23E+00,5.49E-02,400,0,0,552.4,137.39,682.71,288.9
Fe I,3440.606,3441.59216,1.71E+07,2.36E-02,9,7,5.13E+00,1.77E-02,400,0,0,0,0,1009.13,597.06
Fe I,3719.9348,3720.99295,1.62E+07,4.11E-02,9,11,7.16E+00,5.44E-02,600,0,0,0,0,1139.24,612.92
Fe I,3737.1316,3738.1942,1.41E+07,3.81E-02,7,9,7.30E+00,5.21E-02,600,0,0,0,0,1147.33,621.33
Fe I,3745.5613,3746.62609,1.15E+07,3.39E-02,5,7,7.38E+00,4.72E-02,600,0,0,0,0,1151.29,626.5
Fe I,3748.2622,3749.32769,9.14E+06,3.21E-02,3,5,7.99E+00,4.85E-02,300,0,0,0,0,1152.56,632.71
Fe I,3859.9114,3861.00589,9.69E+06,2.17E-02,9,9,8.20E+00,3.67E-02,500,0,0,0,0,1205.37,645.74
Fe I,3886.2822,3887.38356,5.30E+06,1.20E-02,7,7,8.69E+00,2.20E-02,300,0,0,0,0,1217.91,634.13
Fe II,2343.4951,2344.21306,1.73E+08,1.14E-01,10,8,1.82E+00,9.59E-03,400,0,0,385.46,145.68,517.26,175.37
Fe II,2382.0376,2382.7642,3.13E+08,3.20E-01,10,12,1.85E+00,2.88E-02,1000,0,0,402.48,151.58,534.12,179.94
Fe II,2395.6254,2396.35507,2.67E+08,2.88E-01,8,10,1.79E+00,2.55E-02,700,0,0,408.48,153.66,540.08,186.27
Fe II,2404.8858,2405.61757,2.05E+08,2.37E-01,6,8,1.99E+00,2.35E-02,500,0,0,412.58,155.08,544.13,192.03
Fe II,2585.8758,2586.64958,8.61E+07,6.91E-02,10,8,4.11E+00,1.76E-02,300,0,0,492.9,166.2,623.75,261.5
Fe II,2598.3692,2599.14594,1.42E+08,1.08E-01,8,6,3.48E+00,2.37E-02,400,0,0,498.47,163.49,629.27,255.31
Fe II,2599.3956,2600.17258,2.36E+08,2.39E-01,10,10,3.18E+00,4.79E-02,800,0,0,498.93,163.27,629.72,254.17
Fe II,2607.0871,2607.86591,1.74E+08,1.18E-01,6,4,3.98E+00,2.99E-02,300,0,0,502.36,161.61,633.12,243.93
Fe II,2611.8736,2612.65354,1.23E+08,1.26E-01,8,8,4.01E+00,3.23E-02,400,0,0,504.49,160.57,635.24,240.01
H I,1215.66824,1215.66824,6.62E+08,2.78E-01,2,4,5.53E+00,9.89E-03,1000,294.11,45.08,0,0,0,0
H I,1215.67364,1215.67364,6.26E+08,1.39E-01,2,2,5.53E+00,4.95E-03,500,294.11,45.08,0,0,0,0
Hg I,1849.499,1849.499,7.46E+08,1.00E+00,1,3,2.67E-01,6.05E-03,1000,0,0,169.2,51.42,0,0
Hg I,2536.517,2537.27916,8.00E+06,2.32E-02,1,3,4.82E+00,6.55E-03,1000,0,0,470.93,165.79,601.98,236.17
Hg II,1649.9373,1649.9373,1.20E+09,9.80E-01,2,4,2.58E-02,4.07E-04,1000,690.73,5.63,0,0,0,0
Hg II,1942.273,1942.273,7.50E+08,4.20E-01,2,2,6.20E-01,6.85E-03,1000,0,0,209.48,65.99,0,0
K I,4044.14,4045.28256,1.16E+06,5.68E-03,2,4,1.64E+02,2.21E-01,700,0,0,0,0,1293.47,581.21
K I,4047.21,4048.35336,1.07E+06,2.64E-03,2,2,1.75E+02,1.10E-01,700,0,0,0,0,1294.95,580.68
Mg I,2025.824,2026.47672,6.12E+07,1.13E-01,1,3,5.39E-01,1.82E-03,2,0,0,246.15,81.64,379.15,136.31
Mg I,2852.1251,2852.96318,5.00E+08,1.83E+00,1,3,2.78E+00,4.24E-01,1000,0,0,612.24,97.33,742.01,369.03
Mg II,1239.9253,1239.9253,1.40E+06,6.32E-04,2,4,3.27E-03,1.41E-08,25,315.83,49.53,0,0,0,0
Mg II,1240.3946,1240.3946,1.50E+06,3.56E-04,2,2,2.68E-03,6.53E-09,20,316.25,49.61,0,0,0,0
Mg II,2795.5301,2796.35432,2.60E+08,6.16E-01,2,4,1.27E+01,6.15E-01,1000,0,0,586.75,117.49,716.75,333.72
Mg II,2802.7056,2803.53157,2.60E+08,3.06E-01,2,2,9.90E+00,2.39E-01,600,0,0,589.97,115.55,719.95,341.59
Mn I,1996.056,1996.056,7.72E+07,3.08E-02,6,4,7.22E-01,6.34E-04,400,0,0,232.89,75.99,0,0
Mn I,1999.511,1999.511,7.62E+07,4.57E-02,6,6,6.38E-01,8.36E-04,500,0,0,234.4,76.63,0,0
Mn I,2003.849,2004.49782,7.57E+07,6.08E-02,6,8,7.31E-01,1.28E-03,700,0,0,236.57,77.56,369.65,132.59
Mn I,2794.817,2795.64104,3.61E+08,5.65E-01,6,8,5.09E+00,2.25E-01,250,0,0,586.42,117.69,716.43,333.01
Mn I,2798.27,2799.09489,3.56E+08,4.19E-01,6,6,5.34E+00,1.76E-01,200,0,0,587.98,116.75,717.97,336.46
Mn I,2801.084,2801.90957,3.69E+08,2.90E-01,6,4,5.38E+00,1.23E-01,140,0,0,589.24,115.99,719.23,339.62
Mn I,4030.755,4031.89406,1.74E+07,5.65E-02,6,8,9.42E+00,1.25E-01,1000,0,0,0,0,1287.03,584.24
Mn I,4033.068,4034.20766,1.65E+07,4.02E-02,6,6,9.31E+00,8.82E-02,700,0,0,0,0,1288.14,583.18
Mn I,4034.485,4035.62503,1.58E+07,2.58E-02,6,4,1.03E+01,6.26E-02,400,0,0,0,0,1288.82,582.69
Mn II,2576.103,2576.87447,2.82E+08,3.61E-01,7,9,4.97E+00,1.10E-01,1000,0,0,488.55,168.01,619.44,264.75
Mn II,2593.72,2594.49564,2.77E+08,2.80E-01,7,7,4.98E+00,8.74E-02,500,0,0,496.4,164.5,627.21,258.81
Mn II,2605.68,2606.45847,2.72E+08,1.98E-01,7,5,5.49E+00,6.90E-02,400,0,0,501.73,161.91,632.5,245.77
N I,1199.55,1199.55,4.07E+08,1.32E-01,4,6,7.57E-03,6.19E-06,1000,279.7,36.33,0,0,0,0
N I,1200.223,1200.223,4.02E+08,8.69E-02,4,4,6.68E-03,3.60E-06,700,280.3,36.69,0,0,0,0
N I,1200.71,1200.71,4.00E+08,4.32E-02,4,2,7.66E-03,2.05E-06,300,280.73,36.96,0,0,0,0
Na I,2852.81,2853.64824,5.54E+05,1.35E-03,2,4,4.96E+00,5.58E-04,5,0,0,612.54,97,742.32,369.42
Na I,2853.01,2853.84829,5.54E+05,6.77E-04,2,2,5.72E+00,3.23E-04,2,0,0,612.63,96.9,742.41,369.54
Na I,3302.37,3303.32086,2.81E+06,9.20E-03,2,4,8.28E+00,9.85E-03,15,0,0,0,0,945.59,615.29
Na I,3302.98,3303.93102,2.81E+06,4.60E-03,2,2,1.17E+01,6.97E-03,8,0,0,0,0,945.87,615.21
Na I,5889.95,5891.58234,6.16E+07,6.41E-01,2,4,9.02E+00,4.24E+00,1000,0,0,0,0,2274.47,53.05
Na I,5895.924,5897.55794,6.14E+07,3.20E-01,2,2,1.05E+01,2.48E+00,500,0,0,0,0,2278.07,52.86
Ni I,2310.961,2311.67176,0.00E+00,1.00E+00,9,9,2.55E+00,1.13E-01,250,0,0,371.12,140.7,503.04,171.57
Ni I,2320.034,2320.74676,6.94E+08,6.85E-01,9,11,2.27E+00,6.99E-02,300,0,0,375.12,142.09,507.01,171.27
Ni I,2345.543,2346.26142,2.23E+08,1.43E-01,9,9,2.59E+00,1.72E-02,150,0,0,386.37,145.99,518.15,175.2
Ni I,3002.485,3003.36029,9.03E+07,1.22E-01,7,7,4.62E+00,5.48E-02,500,0,0,680.31,30.2,809.46,469.84
Ni I,3050.816,3051.70336,6.04E+07,1.08E-01,7,9,2.73E+00,3.01E-02,400,0,0,702.3,21.1,831.25,509.11
Ni I,3101.557,3102.45708,6.99E+07,1.41E-01,5,7,2.91E+00,4.39E-02,300,0,0,725.46,11.55,854.18,546.21
Ni I,3134.104,3135.01227,7.49E+07,1.84E-01,3,5,3.42E+00,6.95E-02,400,0,0,740.34,7.9,868.93,559.78
Ni I,3414.764,3415.74354,6.15E+07,1.38E-01,7,9,4.67E+00,9.22E-02,1000,0,0,0,0,997.21,595.28
Ni I,3446.259,3447.24661,4.55E+07,8.11E-02,5,5,5.97E+00,7.11E-02,600,0,0,0,0,1011.74,596.62
Ni I,3458.46,3459.45074,6.67E+07,1.99E-01,3,5,5.74E+00,1.70E-01,600,0,0,0,0,1017.38,594.99
Ni I,3461.652,3462.64355,2.78E+07,6.43E-02,7,9,5.83E+00,5.58E-02,600,0,0,0,0,1018.85,593.51
Ni I,3492.956,3493.95559,1.02E+08,1.20E-01,5,3,5.73E+00,1.05E-01,700,0,0,0,0,1033.33,600.44
Ni I,3515.052,3516.05727,4.74E+07,1.23E-01,5,7,5.70E+00,1.09E-01,800,0,0,0,0,1043.57,605.11
Ni I,3524.536,3525.5437,1.09E+08,1.49E-01,7,5,5.65E+00,1.32E-01,1000,0,0,0,0,1047.97,604.88
Ni II,1741.547,1741.547,9.39E+07,4.27E-02,6,6,8.79E-02,7.11E-05,150,0,0,122.45,39.96,0,0
O I,1302.168,1302.168,3.15E+08,4.80E-02,5,3,4.79E-02,1.82E-05,1000,371.78,51.22,0,0,0,0
O I,1304.858,1304.858,1.87E+08,4.78E-02,3,3,5.00E-02,1.91E-05,700,374.21,50.79,0,0,0,0
O I,1306.029,1306.029,6.23E+07,4.78E-02,1,3,5.31E-02,2.03E-05,300,375.26,50.61,0,0,0,0
OH,3081,3081.89492,1.00E+08,1.00E-03,1,1,2.46E+01,2.59E-03,1,0,0,716.07,14.47,844.88,533.76
OH,3092,3092.89768,1.00E+08,1.00E-03,1,1,7.13E+01,7.57E-03,1,0,0,721.09,13.45,849.86,541.73
S I,1425.03,1425.03,2.92E+08,1.25E-01,5,7,8.87E-03,1.15E-05,1000,483.15,28.97,0,0,0,0
S I,1433.28,1433.28,2.16E+08,1.11E-01,3,5,6.80E-03,7.97E-06,600,490.67,27.57,0,0,0,0
S I,1433.31,1433.31,1.20E+08,3.69E-02,3,3,6.65E-03,2.59E-06,200,490.7,27.56,0,0,0,0
S I,1473.995,1473.995,1.82E+08,8.28E-02,5,7,1.36E-02,1.30E-05,1000,527.91,22.41,0,0,0,0
S I,1807.311,1807.311,3.08E+08,9.05E-02,5,3,1.93E-01,3.70E-04,1000,0,0,150.91,46.94,0,0
S I,1820.343,1820.343,1.70E+08,8.45E-02,3,3,1.97E-01,3.61E-04,900,0,0,156.56,48.32,0,0
S I,1826.245,1826.245,5.49E+07,8.24E-02,1,3,2.16E-01,3.89E-04,800,0,0,159.11,48.95,0,0
S II,1250.578,1250.578,4.63E+07,5.43E-03,4,2,2.94E-03,1.12E-07,400,325.39,51.42,0,0,0,0
S II,1253.805,1253.805,4.62E+07,1.09E-02,4,4,4.06E-03,3.13E-07,900,328.28,52,0,0,0,0
S II,1259.518,1259.518,4.65E+07,1.66E-02,4,6,4.90E-03,5.83E-07,1000,333.41,53.01,0,0,0,0
Si I,1850.6719,1850.6719,3.14E+08,2.26E-01,5,7,1.76E-01,9.03E-04,400,0,0,169.71,51.54,0,0
Si I,1977.5978,1977.5978,2.79E+07,4.91E-02,1,3,5.92E-01,8.07E-04,400,0,0,224.86,72.56,0,0
Si I,1979.2056,1979.2056,8.70E+07,1.70E-02,3,1,5.70E-01,2.70E-04,400,0,0,225.55,72.86,0,0
Si I,1980.6185,1980.6185,2.07E+07,1.22E-02,3,3,6.03E-01,2.05E-04,300,0,0,226.17,73.12,0,0
