Lishawa et al. 1990		// REFERENCE
Cross Section			// DATATYPE
Ion-Neutral 			// REACTYPE
1				// NREAC
H_2O+, H_2O -> OH, H_3O+	// REACTION
eV				// ENERGY UNITS
incident energy			// ETYPE
cm-2				// CROSS SECTION UNITS
Data are smoothed and interpolated // COMMENT
\begindata
     0.093957150 :    1.0669582e-14
      0.37582860 :    5.3347910e-15
      0.84561435 :    3.5565273e-15
       1.5033144 :    2.6673955e-15
       2.3489287 :    1.9638747e-15
       3.3824574 :    1.3556823e-15
       4.6039003 :    9.9099549e-16
       6.0132576 :    7.5541990e-16
       7.6105291 :    5.9457688e-16
       9.3957150 :    4.7994821e-16
       11.368815 :    3.9541515e-16
       13.529830 :    3.3131303e-16
       15.878758 :    2.8156312e-16
       18.415601 :    2.4218781e-16
       21.140359 :    2.1049630e-16
       24.053030 :    1.8461587e-16
       27.153616 :    1.6321077e-16
       30.442116 :    1.4530770e-16
       33.918531 :    1.3018393e-16
       37.582860 :    1.1729378e-16
       41.435103 :    1.0621904e-16
       45.475260 :    9.6634879e-17
       49.703332 :    8.8285892e-17
       54.119318 :    8.0969065e-17
       58.723218 :    7.4521388e-17
\enddata
