heliocentric distance=      1.00000
velocity(km/s)        3187          3193            3204            3342           3371           3372           3636          3644
12.000000 	: 0.17539528   	: 0.10897926    : 0.013334829   : 0.19848573   : 0.050021660  : 0.10294756   : 0.48193695   : 0.52088065
11.000000 	: 0.15375199   	: 0.094745464   : 0.012985120   : 0.18149092   : 0.040031182  : 0.11127701   : 0.44242187   : 0.53835539
10.000000 	: 0.13223120   	: 0.088796847   : 0.012641189   : 0.16194799   : 0.038244697  : 0.11796678   : 0.42643392   : 0.54450942
9.0000000 	: 0.11640874   	: 0.089135880   : 0.012404277   : 0.14079164   : 0.046206202  : 0.12285475   : 0.45711920   : 0.53861760
8.0000000 	: 0.10479447   	: 0.097606088   : 0.012296508   : 0.11976954   : 0.063726522  : 0.12278134   : 0.52343175   : 0.52141309
7.0000000 	: 0.096924492  	: 0.11389066    : 0.012127241   : 0.099702874  : 0.084632086  : 0.11588772   : 0.57843534   : 0.48953218
6.0000000 	: 0.092797715  	: 0.12636450    : 0.011649116   : 0.082115562  : 0.098836545  : 0.10426933   : 0.59124206   : 0.43963704
5.0000000 	: 0.089991588  	: 0.12295522    : 0.010602993   : 0.065967802  : 0.099281554  : 0.092466187  : 0.54721059   : 0.36355460
4.0000000 	: 0.083648335  	: 0.10185724    : 0.0087938502  : 0.050877294  : 0.084295378  : 0.080361152  : 0.44516860   : 0.26598412
3.0000000 	: 0.070208229  	: 0.071104973   : 0.0064668547  : 0.036572738  : 0.060383601  : 0.066721589  : 0.31731814   : 0.16848992
2.0000000 	: 0.052175968  	: 0.044598602   : 0.0043202838  : 0.027291683  : 0.038829938  : 0.049767840  : 0.19584602   : 0.10134739
1.0000000 	: 0.037377007  	: 0.027923840   : 0.0030392882  : 0.022396922  : 0.025810732  : 0.033618259  : 0.12035633   : 0.066530514
0.0000000 	: 0.030055750  	: 0.021740373   : 0.0028799628  : 0.020651965  : 0.022483200  : 0.023278459  : 0.087330672  : 0.056147890
-1.0000000 	:  0.031892929  : 0.023188867   : 0.0037822156  : 0.020554864  : 0.030474561  : 0.019430575  : 0.088560876  : 0.063080160
-2.0000000 	:  0.045864296  : 0.032841859   : 0.0053827294  : 0.021279944  : 0.052722140  : 0.023377373  : 0.13372315   : 0.084342656
-3.0000000 	:  0.078606069  : 0.050275064   : 0.0070348891  : 0.023387334  : 0.083522497  : 0.041504188  : 0.24292701   : 0.10595037
-4.0000000 	:  0.12395040   : 0.064940776   : 0.0085717864  : 0.028884354  : 0.10949433   : 0.076558409  : 0.39679495   : 0.10788819
-5.0000000 	:  0.16628851   : 0.070274048   : 0.0099646634  : 0.039513297  : 0.12756965   : 0.11727722   : 0.53610902   : 0.087463343
-6.0000000 	:  0.19832856   : 0.070482634   : 0.011105922   : 0.055673148  : 0.13680995   : 0.15218235   : 0.63673581   : 0.063626942
-7.0000000 	:  0.22171323   : 0.075574540   : 0.011726450   : 0.074567583  : 0.13975908   : 0.17515505   : 0.70062435   : 0.049013513
-8.0000000 	:  0.23625174   : 0.088413361   : 0.011595452   : 0.097199059  : 0.13778662   : 0.18838907   : 0.73649125   : 0.043538804
-9.0000000 	:  0.24376751   : 0.10390421    : 0.010656127   : 0.12351951   : 0.13234292   : 0.19226828   : 0.75264754   : 0.042456001
-10.000000 	:  0.24524049   : 0.11155313    : 0.0089926192  : 0.14932653   : 0.12471942   : 0.18786839   : 0.75425065   : 0.044182086
-11.000000 	:  0.24249202   : 0.11183998    : 0.0070570378  : 0.17230209   : 0.11586631   : 0.17632770   : 0.74370404   : 0.051643531
-12.000000 	:  0.23722749   : 0.10931057    : 0.0054937843  : 0.19125546   : 0.10399330   : 0.16199858   : 0.72256039   : 0.076044147
-13.000000 	:  0.23086566   : 0.10473498    : 0.0046641718  : 0.20651104   : 0.089794814  : 0.14975624   : 0.69679875   : 0.13618997
