Tayal & Gupta 1999		// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-9
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
1-47	1.29e-2	9.87e-3	8.49e-3	1.64e-2	1.79e-2	1.96e-2	2.31e-2	3.05e-2
1-48	7.43e-3	5.70e-3	4.91e-3	5.87e-3	5.40e-3	5.13e-3	4.81e-3	4.47e-3
1-49	0	0	0	1.19e-3	1.19e-3	1.19e-3	1.19e-3	1.19e-3
2-3	8.72	8.20	7.87	6.88	6.46	6.21	5.81	5.13
2-4	2.41	2.33	2.32	2.36	2.38	2.35	2.25	1.99
2-5	3.88e-1	3.91e-1	3.93e-1	4.10e-1	4.32e-1	4.45e-1	4.47e-1	4.07e-1
2-6	8.14e-1	9.14e-1	9.47e-1	1.04	1.07	1.08	1.04	9.25e-1
2-7	5.77e-1	5.87e-1	5.94e-1	6.34e-1	6.59e-1	6.62e-1	6.63e-1	6.66e-1
2-8	1.06	1.07	1.08	1.12	1.14	1.14	1.15	1.17
2-9	7.89e-1	7.89e-1	7.89e-1	7.99e-1	7.99e-1	7.85e-1	7.41e-1	6.46e-1
2-10	3.04e-1	2.98e-1	2.98e-1	3.07e-1	3.12e-1	3.14e-1	3.18e-1	3.26e-1
2-11	4.82e-1	4.89e-1	4.96e-1	5.25e-1	5.31e-1	5.28e-1	5.31e-1	5.33e-1
2-12	7.49e-1	7.60e-1	7.72e-1	8.17e-1	8.28e-1	8.25e-1	8.31e-1	8.50e-1
2-13	8.98e-1	9.20e-1	9.30e-1	9.29e-1	8.95e-1	8.59e-1	8.07e-1	7.49e-1
2-14	8.16e-1	8.87e-1	9.12e-1	9.15e-1	8.60e-1	8.06e-1	7.19e-1	6.12e-1
2-15	1.10	1.17	1.19	1.16	1.08	1.00	8.79e-1	7.25e-1
2-16	1.07	1.13	1.14	1.07	9.82e-1	9.04e-1	7.93e-1	6.64e-1
2-17	3.73e-1	3.45e-1	3.30e-1	2.81e-1	2.56e-1	2.43e-1	2.28e-1	2.14e-1
2-18	2.16	2.18	2.20	2.28	2.34	2.40	2.51	2.74
2-19	6.89e-1	6.57e-1	6.47e-1	6.36e-1	6.44e-1	6.56e-1	6.91e-1	7.83e-1
2-20	9.67e-1	8.75e-1	8.37e-1	7.51e-1	7.20e-1	7.05e-1	6.98e-1	7.30e-1
