vel	:	1215
-12	:	0.0127536528642688
-11.5	:	0.012715661542252
-11	:	0.012677438021276
-10.5	:	0.0126381963971712
-10	:	0.0125999728761952
-9.5	:	0.0125608205593824
-9	:	0.0125195784519368
-8.5	:	0.0124827838476328
-8	:	0.0124461499964544
-7.5	:	0.0124118024119512
-7	:	0.0123775798576568
-6.5	:	0.012348697879424
-6	:	0.0123199230699416
-5.5	:	0.0122926664844232
-5	:	0.0122702682155896
-4.5	:	0.012248227175924
-4	:	0.0122291511383528
-3.5	:	0.0122128079039168
-3	:	0.0122004120517872
-2.5	:	0.0121875160788224
-2	:	0.012180264326712
-1.5	:	0.0121747987204416
-1	:	0.0121695653131304
-0.5	:	0.0121710835370944
0	:	0.0121743343225232
0.5	:	0.0121798356517104
1	:	0.0121890878871616
1.5	:	0.0122041272351344
2	:	0.0122186128778968
2.5	:	0.0122349918352496
3	:	0.0122556754040768
3.5	:	0.0122751265322744
4	:	0.0122982035365272
4.5	:	0.012318690629312
5	:	0.0123417497721064
5.5	:	0.012366112801364
6	:	0.0123911367045824
6.5	:	0.012415589041132
7	:	0.0124417024933128
7.5	:	0.012473460166348
8	:	0.0125033066633344
8.5	:	0.0125369040665848
9	:	0.0125710194521288
9.5	:	0.0126087428522696
10	:	0.0126453588419896
10.5	:	0.0126831001035888
11	:	0.0127203412443528
11.5	:	0.0127567071736552
12	:	0.0127964131956784
